Δt,v,ΔT
494000,140000,494000.053866
245000,110000,245000.016492
76000,158000,76000.010555
191000,143000,191000.021729
143000,93000,143000.006881
259000,97000,259000.013557
272000,49000,272000.003633
10000,121000,10000.0008145
126000,127000,126000.011306
79000,103000,79000.0046626
246000,40000,246000.00219
123000,69000,123000.003258
177000,48000,177000.002269
49000,105000,49000.0030054
453000,106000,453000.028316
279000,167000,279000.043288
491000,96000,491000.025174
236000,29000,236000.001104
168000,198000,168000.036641