I,I0,Î²
8.6e-07,1.6e-11,108.92098946
5.04e-06,4.2e-11,116.952470218
7.29e-06,3.8e-11,121.644279443
5.4e-07,7.6e-11,88.6859107825
2.5e-07,6.2e-11,83.020818118
7.09e-06,6e-11,116.798513363
6.32e-06,4.6e-11,118.305883696
1.89e-06,8e-12,123.726458454
4.98e-06,8.1e-11,110.264912943
1.63e-06,9e-11,98.0428090245
2.24e-06,3e-11,112.207890422
7.99e-06,9.8e-11,113.087338391
5.98e-06,3.5e-11,120.485830644
3.34e-06,3e-12,139.228690763
6.12e-06,5.3e-11,116.567807409
2.08e-06,8.9e-11,100.592420819
4.85e-06,4.4e-11,116.10299629
8.34e-06,9.4e-11,113.932789921
7.03e-06,6.3e-11,116.225625374
9.89e-06,7.7e-11,117.632292817